X,Y,PHI,IR1,LDR1,IR2,LDR2,IR3,LDR3,IR4,LDR4,IR5,LDR5,IR6,LDR6,IR7,LDR7,IR8,LDR8
18.7,78.5,247.5,1.9,75.9,2,231.4,2,225.3,54,215,155.4,45.3,276.2,18.3,584.5,2.6,146.7571429,13
18.7,78.5,270,1.9,193.3,2.2,235,2,228.9,119.6,189.5,167.9,21.8,440.9,4.7,544.2,11.9,142.6714286,23.9
18.7,78.5,292.5,2.5,216.5,119.4,251.8,84.4,206.2,135.7,45.6,305.6,8.8,555.7,1.3,388.5,29.7,122.8714286,60.9
18.7,78.5,315,1.6,226.9,2.7,239.5,124.4,152.4,132.2,21.6,493.3,0,517.2,13.7,182.2,43.5,64.25714286,205
18.7,78.5,337.5,40.5,232,2,224.3,152.1,41.7,262.3,5.3,602.4,0,371.1,42.1,1.8,76.2,2,223.5
18.7,108.5,0,1.5,231.3,2.5,205.5,103.8,51.9,426.2,4.5,553.2,3,186.2,53.1,22.7,144.8,52.8,230.8
18.7,108.5,22.5,2.4,215.2,45.4,158.5,272.6,27.7,535.9,0,386.9,18.7,23,70.8,1.9,208.6,73.2,233.3
18.7,108.5,45,1.8,204.4,120.4,50.1,434.8,5.3,514.7,0.8,195.5,31.9,2.1,158.5,1.5,224.7,1.5,247.2
18.7,108.5,67.5,127.2,150.9,284,23.7,555.7,0,370.6,11.8,9.1,52.2,1.9,208.3,2,233.5,53,233.6
18.7,108.5,90,13.3,55.3,445,0,534.3,0,191,35.7,1.3,131.6,2,229.5,2.1,240.1,65,204.6
18.7,108.5,112.5,260.1,25.1,556.4,0,383,24,37.6,58.4,1.8,184.4,2,237.6,2.5,230.8,94.5,146.3
18.7,108.5,135,432.3,7.2,525.6,0,215.8,41.2,1.9,145.1,1.6,209.9,1.6,237.7,4.9,209.4,110.7,45.6
18.7,108.5,157.5,556.3,0,371.6,3.8,13,57.6,21.7,209.2,1.6,230.4,1.4,221.8,47.6,149.4,271.9,19.9
18.7,108.5,180,542.9,0,202.6,21.1,2.1,139.7,2.1,232,1.8,230.5,10.9,206.2,89.4,68.7,443.5,0
